action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,critic_ratio_max,critic_ratio_min,critic_rows,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,joint_actor_effective_critic_scale_ratio,joint_actor_effective_scale,joint_actor_fisher_quadratic,joint_actor_normalized_mean_gram_diag,joint_actor_normalized_rhs_l2,joint_actor_normalized_rows_l2,joint_actor_raw_critic_scale_ratio,joint_actor_raw_rows_l2,joint_actor_raw_scale,joint_actor_scale_floor,joint_actor_scale_floor_active,joint_actor_scale_floor_ratio,joint_applied_solve_residual,joint_cholesky_info_max,joint_clip_scale,joint_critic_ggn_quadratic,joint_critic_normalized_mean_gram_diag,joint_critic_normalized_rhs_l2,joint_critic_normalized_rows_l2,joint_critic_raw_rows_l2,joint_critic_raw_scale,joint_cross_block_frobenius,joint_direction_l2,joint_finite_scan_pass,joint_kernel_mode,joint_linear_solve_dtype,joint_policy_direction_l2,joint_policy_post_lr_delta_l2,joint_post_lr_delta_l2,joint_predicted_step_kl,joint_relative_damping,joint_relative_solve_residual,joint_shared_direction_l2,joint_shared_post_lr_delta_l2,joint_solve_residual,joint_solver_mode,joint_system_rows,joint_value_direction_l2,joint_value_post_lr_delta_l2,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,optimizer_history_correction,optimizer_momentum,optimizer_momentum_semantics,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var
13,13,-0.410109281539917,-0.3913439214229584,-0.4100775122642517,-0.43246912956237793,6.531705366796814e-06,0.0,1.0,1.0,512,0.5,1.5284053669450975e-20,1000.0,0.0,935,3.304722486063838e-05,0.01,478.08258211577794,0.0,6.132642599271129e-41,1.0348608493804932,1.771970540080669e-19,6.352126327178139e-43,3.943074440679533e-18,3.0368409564229375e-38,478.08258211577794,1.0,0.01,1.521770149586772e-16,0,1.0,1.521800394033157e-11,0.9999999403953552,0.00027921851142309606,22.627416610717773,4947.50732421875,47808.25821157779,4.711366475687171e-20,3.304722486063838e-05,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,2.8543212012431186e-21,1.4271606006215593e-21,1.652361243031919e-05,0.0,0.5,1.521770149586772e-16,3.213104355381802e-05,1.606552177690901e-05,1.521770149586772e-16,block_normalized_symmetric_jacobi_fp64_cholesky,1024,7.727556294412352e-06,3.863778147206176e-06,-6.51134074208928e-25,-1.117214560508728e-05,7.2798325163603295e-06,0.5,249,1024000,1100.248570274096,1024000,1.0,1e-06,paper_sgd_momentum_1e-6,1.0,1.0,-0.4068582057952881,-0.3959885239601135,-0.40690144896507263,-0.4177590608596802,2.1117975848028436e-05
13,13,-0.4008302092552185,-0.3833904564380646,-0.40080025792121887,-0.4223455488681793,7.870796252973378e-06,0.0,1.0,1.0,512,0.5,1.2403415100559201e-11,1000.0,0.0,935,2.317097460036166e-05,0.01,471.72665889691524,9.930043055897118e-37,1.4646881401434394e-23,1.0418096780776978,8.659793715448671e-11,1.4646879298015056e-25,1.8808439250506126e-09,6.909323434519038e-21,471.72665889691524,1.0,0.01,1.8614135100853343e-16,0,1.0,1.2230262809442838e-11,1.0,0.0003247377753723413,22.627416610717773,4914.509765625,47172.665889691525,4.4834486817579844e-11,2.3170972781372257e-05,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,5.694540325396069e-12,2.8472701626980346e-12,1.1585486390686128e-05,1.2412553819871397e-37,0.5,1.8614135100853343e-16,1.9709046682692133e-05,9.854523341346066e-06,1.8614135100853343e-16,block_normalized_symmetric_jacobi_fp64_cholesky,1024,1.2183902072138153e-05,6.0919510360690765e-06,-1.8335487157570976e-15,-3.732740879058838e-06,9.715968189993873e-06,0.5,259,1064960,1144.2256655530073,1064960,1.0,1e-06,paper_sgd_momentum_1e-6,1.0,1.0,-0.40053942799568176,-0.38686755299568176,-0.4005870223045349,-0.41193753480911255,2.1007954273954965e-05
13,13,-0.39200258255004883,-0.37171757221221924,-0.39209794998168945,-0.4139227569103241,8.860608431859873e-06,0.0,1.0,1.0,512,0.5,8.01267559247254e-12,1000.0,0.0,932,3.7535490264417604e-05,0.01,509.01882957408134,8.909363262582419e-37,8.425067599918425e-24,1.0029208660125732,6.567826837944324e-11,8.42506755309645e-26,1.4817966853541975e-09,4.288518024959724e-21,509.01882957408134,1.0,0.01,1.8338036786568438e-16,0,1.0,1.2944212542109756e-11,1.0,0.00031567420228384435,22.627416610717773,5105.072265625,50901.88295740813,3.8167344285078286e-11,3.7535490264417604e-05,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,6.11125906824217e-12,3.055629534121085e-12,1.8767745132208802e-05,1.1136704078228023e-37,0.5,1.8338036786568438e-16,3.3166867069667205e-05,1.6583433534833603e-05,1.8338036786568438e-16,block_normalized_symmetric_jacobi_fp64_cholesky,1024,1.7574757293914445e-05,8.787378646957222e-06,-1.2179274990332771e-15,7.811933755874634e-06,9.906997547659557e-06,0.5,269,1105920,1188.2102947551757,1105920,1.0,1e-06,paper_sgd_momentum_1e-6,1.0,1.0,-0.3926944434642792,-0.37806445360183716,-0.39254632592201233,-0.4038674533367157,9.661613148637116e-06
13,13,-0.3839157223701477,-0.36761772632598877,-0.3838624954223633,-0.40289002656936646,8.676404831930995e-06,0.0,1.0,1.0,512,0.5,1.8802535917128438e-11,1000.0,0.0,933,4.031056596431881e-05,0.01,472.84273023034257,1.0628938086589946e-36,2.185741401850912e-23,1.0405787229537964,1.0578750375689339e-10,2.185741482046172e-25,2.3003436933066723e-09,1.0335119699484274e-20,472.84273023034257,1.0,0.01,1.7888859982296264e-16,0,1.0,1.7957404660484677e-11,0.9999998807907104,0.0002947952598333359,22.627416610717773,4920.31982421875,47284.27302303426,6.438274219311424e-11,4.031056960229762e-05,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,4.626611160157834e-12,2.313305580078917e-12,2.015528480114881e-05,1.3286172608237432e-37,0.5,1.7888859982296264e-16,3.534146162564866e-05,1.767073081282433e-05,1.7888859982296264e-16,block_normalized_symmetric_jacobi_fp64_cholesky,1024,1.938873356266413e-05,9.694366781332064e-06,-2.147511853810508e-15,1.6093254089355469e-06,8.025788702070713e-06,0.5,279,1146880,1232.2346271509305,1146880,1.0,1e-06,paper_sgd_momentum_1e-6,1.0,1.0,-0.385743111371994,-0.3720912039279938,-0.38546472787857056,-0.39728206396102905,1.3884116015105974e-05
13,13,-0.376085102558136,-0.3599485456943512,-0.3761593699455261,-0.3950606882572174,2.2923074993741466e-06,0.0,1.0,1.0,512,0.5,1.1544286109567774e-20,1000.0,0.0,930,1.5465177057194524e-05,0.01,539.4591776789465,0.0,3.9974841291794057e-41,0.9742091298103333,1.4306401471773735e-19,4.1646861970646555e-43,3.3915137169516244e-18,2.246678191159358e-38,539.4591776789465,1.0,0.01,1.4576346698115464e-16,0,1.0,1.567140189319416e-12,0.9999999403953552,0.00012210708518978208,22.627416610717773,5255.50244140625,53945.91776789465,4.148849085586447e-20,1.5465177057194524e-05,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,3.004990453453162e-21,1.502495226726581e-21,7.732588528597262e-06,0.0,0.5,1.4576346698115464e-16,1.3874460819351953e-05,6.937230409675976e-06,1.4576346698115464e-16,block_normalized_symmetric_jacobi_fp64_cholesky,1024,6.831619430158753e-06,3.4158097150793765e-06,-1.691367873461331e-24,-1.037493348121643e-05,1.5709789522588835e-06,0.5,289,1187840,1276.2191476551816,1187840,1.0,1e-06,paper_sgd_momentum_1e-6,1.0,1.0,-0.37874504923820496,-0.37354958057403564,-0.376423180103302,-0.38451501727104187,9.939371011569165e-06
13,13,-0.3687973916530609,-0.3573693037033081,-0.36882638931274414,-0.3879089057445526,3.0673438686790178e-06,0.0,1.0,1.0,512,0.5,7.118309414133606e-12,1000.0,0.0,936,3.899813236785121e-05,0.01,489.6810934752381,1.5441539595846754e-36,7.7381322568174e-24,1.0225300788879395,6.29438168253671e-11,7.738131277947609e-26,1.3928671549479077e-09,3.789216585640326e-21,489.6810934752381,1.0,0.01,1.481358597510059e-16,0,1.0,1.353183710917083e-11,1.0,0.00020873900211881846,22.627416610717773,5007.162109375,48968.10934752381,3.665702116850689e-11,3.899813600583002e-05,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,3.953150307101083e-12,1.9765751535505416e-12,1.949906800291501e-05,1.9301924494808443e-37,0.5,1.481358597510059e-16,3.411011857679114e-05,1.705505928839557e-05,1.481358597510059e-16,block_normalized_symmetric_jacobi_fp64_cholesky,1024,1.8903823729488067e-05,9.451911864744034e-06,-1.2188469532975216e-15,9.238719940185547e-07,4.1672597035358194e-06,0.5,299,1228800,1320.1609364631586,1228800,1.0,1e-06,paper_sgd_momentum_1e-6,1.0,1.0,-0.37169089913368225,-0.362803190946579,-0.3707084655761719,-0.3856806457042694,1.1376600014045835e-05
13,13,-0.3620530366897583,-0.34642863273620605,-0.36201441287994385,-0.3891744017601013,4.920430910715368e-06,0.0,1.0,1.0,512,0.5,1.2279292166406108e-11,1000.0,0.0,933,5.518902253243141e-05,0.01,502.7661197439338,2.680408186715596e-37,1.29288133473445e-23,1.0091365575790405,8.136063350816514e-11,1.2928814657205753e-25,1.8243045962762494e-09,6.500169978091835e-21,502.7661197439338,1.0,0.01,1.4586703409657604e-16,0,1.0,9.837552647495862e-12,0.9999999403953552,0.00022860284661874175,22.627416610717773,5073.62060546875,50276.61197439338,5.09172669305169e-11,5.518902253243141e-05,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,6.873793201300771e-12,3.4368966006503854e-12,2.7594511266215704e-05,3.350510233394495e-38,0.5,1.4586703409657604e-16,4.9294019845547155e-05,2.4647009922773577e-05,1.4586703409657604e-16,block_normalized_symmetric_jacobi_fp64_cholesky,1024,2.4817885787342675e-05,1.2408942893671338e-05,-1.7316106298956475e-15,-6.000511348247528e-06,5.131677426106762e-06,0.5,309,1269760,1364.1798568600789,1269760,1.0,1e-06,paper_sgd_momentum_1e-6,1.0,1.0,-0.3629608750343323,-0.3544139862060547,-0.3626275360584259,-0.3750602602958679,9.274100193579216e-06
13,13,-0.3556539714336395,-0.34358859062194824,-0.3555757403373718,-0.37118440866470337,4.381625331006944e-06,0.0,1.0,1.0,512,0.5,1.1255290102707427e-11,1000.0,0.0,934,2.8381806259858422e-05,0.01,477.70497259726045,1.479067838601793e-37,1.2429983464815236e-23,1.0352686643600464,7.977563054595294e-11,1.2429983235447248e-25,1.7436131427572832e-09,5.937864800873734e-21,477.70497259726045,1.0,0.01,1.582652506069976e-16,0,1.0,5.254052401482134e-12,0.9999998807907104,0.00022182143584359437,22.62741470336914,4945.552734375,47770.49725972604,4.636907871558016e-11,2.838180444086902e-05,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,7.366221348170665e-12,3.6831106740853325e-12,1.419090222043451e-05,1.8488347982522411e-38,0.5,1.582652506069976e-16,2.6155912564718165e-05,1.3077956282359082e-05,1.582652506069976e-16,block_normalized_symmetric_jacobi_fp64_cholesky,1024,1.1017946235369891e-05,5.5089731176849455e-06,-1.184830110135789e-15,1.0672956705093384e-05,4.5908900574431755e-06,0.5,319,1310720,1408.139943501912,1310720,1.0,1e-06,paper_sgd_momentum_1e-6,1.0,1.0,-0.3568474054336548,-0.34282636642456055,-0.35615861415863037,-0.3684695363044739,1.1697254194587003e-05
13,13,-0.349425733089447,-0.33428362011909485,-0.3494478166103363,-0.3643178343772888,3.0857484034640947e-06,0.0,1.0,1.0,512,0.5,5.99616602030284e-13,1000.0,0.0,933,1.3673284229298588e-05,0.01,602.1579933987574,4.049752561898721e-43,5.0414537522006395e-25,0.9220972061157227,1.606618831029305e-11,5.0414538825554584e-27,3.942467463602384e-10,3.0357517537319695e-22,602.1579933987574,1.0,0.01,1.617828798431917e-16,0,1.0,3.870013250834026e-12,0.9999999403953552,0.0001282684097532183,22.627416610717773,5552.52099609375,60215.79933987574,1.1035230888800651e-11,1.3673284229298588e-05,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,4.919442023881837e-12,2.4597210119409185e-12,6.836642114649294e-06,5.044674471569341e-44,0.5,1.617828798431917e-16,1.213364248542348e-05,6.06682124271174e-06,1.617828798431917e-16,block_normalized_symmetric_jacobi_fp64_cholesky,1024,6.303444479272002e-06,3.151722239636001e-06,-5.1295173776475105e-17,7.573515176773071e-06,1.9349954527569935e-06,0.5,329,1351680,1452.0811776020564,1351680,1.0,1e-06,paper_sgd_momentum_1e-6,1.0,1.0,-0.3491421341896057,-0.3395431935787201,-0.34919723868370056,-0.3545357286930084,4.2570345613057725e-06
13,13,-0.3438452184200287,-0.32949602603912354,-0.34364375472068787,-0.37108370661735535,1.0833073247340508e-05,0.0,1.0,1.0,512,0.5,2.822042946548642e-11,1000.0,0.0,935,1.9160675947205164e-05,0.01,439.3025035423355,4.256260997334477e-36,3.712863465021525e-23,1.0795725584030151,1.3787625208205867e-10,3.712863710058873e-25,2.889823491614152e-09,1.631070323140347e-20,439.3025035423355,1.0,0.01,2.0280778896632308e-16,0,1.0,3.663549932170218e-12,1.0,0.0003513228730298579,22.627416610717773,4742.603515625,43930.25035423355,8.29885396513852e-11,1.9160675947205164e-05,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,3.327926129115255e-11,1.6639630645576275e-11,9.580337973602582e-06,5.320326246668096e-37,0.5,2.0280778896632308e-16,1.7426242266083136e-05,8.713121133041568e-06,2.0280778896632308e-16,block_normalized_symmetric_jacobi_fp64_cholesky,1024,7.966026714711916e-06,3.983013357355958e-06,-1.9585802549529298e-16,6.324611604213715e-06,1.0590259080345277e-05,0.5,339,1392640,1496.065852810163,1392640,1.0,1e-06,paper_sgd_momentum_1e-6,1.0,1.0,-0.34295007586479187,-0.33113765716552734,-0.34362465143203735,-0.3537144064903259,1.5507135685766116e-05
