action_max,action_min,actor_direction_l2,actor_history_projection_l2,actor_kernel_mode,actor_relative_solve_residual,actor_system_rows,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,combined_clip_scale,critic_cholesky_info_max,critic_cross_blocks,critic_curvature_coef,critic_direction_l2,critic_ggn_quadratic,critic_history_projection_l2,critic_jacobi_scale_max,critic_jacobi_scale_min,critic_kernel_mode,critic_linear_solve_dtype,critic_objective_coef,critic_relative_solve_residual,critic_solve_residual,critic_solver_mode,critic_system_rows,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,optimizer_history_correction,optimizer_momentum,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var
13,2,0.15921251475811005,398.4421081542969,paper_sampled_score_separate_b,0.0028386455960571766,512,-1.6470381021499634,-0.41880562901496887,-1.6039375066757202,-7.300798416137695,0.09381743520498276,0.0,1.0,0,0,0.1,0.36006197333335876,64.66781616210938,55.52255630493164,0.37371791767243817,0.20520154858447054,deterministic_value_jacobian_separate_b,torch.float64,1.0,4.586674845144213e-14,2.6917826296605444e-12,symmetric_jacobi_cholesky_fp64,512,0.0129746337890625,0.010401824489235878,619.4,1.0,1516,0.3916797637939453,0.025290753692388535,-0.11868028342723846,0.040148161351680756,0.0129746337890625,109,450560,303.4837990528904,450560,1.0,1e-06,1.047253131866455,0.10000000149011612,0.22079694271087646,1.8416529893875122,0.00670985970646143,-1.5900068283081055,0.6884428262710571
14,0,0.4848809242248535,111.48859405517578,paper_sampled_score_separate_b,0.0005139741115272045,512,-1.605698585510254,1.5660922527313232,-1.6160662174224854,-3.4313948154449463,0.06560052931308746,0.0,0.8897761702537537,0,0,0.1,0.2729494273662567,8.530662536621094,17.659042358398438,1.3018299056912521,0.8797376140580933,deterministic_value_jacobian_separate_b,torch.float64,1.0,4.350769956409778e-15,1.0845623200884809e-13,symmetric_jacobi_cholesky_fp64,512,0.00033750000000000007,0.9945310354232788,664.02,1.1,1451,0.5619390606880188,0.09201599657535553,-0.019932689145207405,0.03623921424150467,0.00022500000000000005,119,491520,330.77375516295433,491520,1.0,1e-06,6.244617462158203,0.22818776965141296,0.21195784211158752,3.431504011154175,0.27610552310943604,-1.5847723484039307,0.48325851559638977
14,0,0.5057840943336487,232.415771484375,paper_sampled_score_separate_b,0.00015605085354764014,512,-1.629594087600708,-1.3303674459457397,-1.6111806631088257,-3.4917356967926025,0.012907229363918304,0.0,0.9448010325431824,0,0,0.1,0.18094678223133087,41.8403434753418,38.888893127441406,1.1941499623232994,0.7103824586749767,deterministic_value_jacobian_separate_b,torch.float64,1.0,2.2470475527116014e-15,1.0490003804648595e-13,symmetric_jacobi_cholesky_fp64,512,0.0001,0.7660716772079468,779.17,0.49,1522,0.5292119383811951,0.08230888098478317,-0.1857471466064453,0.015825416892766953,0.0001,129,532480,357.94026978174224,532480,1.0,1e-06,6.989506721496582,0.10491824895143509,-0.3042981028556824,0.875816822052002,-0.07128077745437622,-1.591898798942566,0.44822728633880615
14,0,1.9925049543380737,256.6164855957031,paper_sampled_score_separate_b,0.00023500426323153079,512,-1.6555273532867432,-1.4663726091384888,-1.6411017179489136,-3.0326151847839355,0.011031968519091606,0.0,0.2494884431362152,0,0,0.1,0.16673734784126282,53.87063980102539,38.839195251464844,1.3528844422101198,0.6144400682172592,deterministic_value_jacobian_separate_b,torch.float64,1.0,2.8464578686889172e-15,1.5052926238370264e-13,symmetric_jacobi_cholesky_fp64,512,0.0001,1.1485689878463745,860.82,0.24,1517,2.004100799560547,0.12400782108306885,0.03384777903556824,0.04333868622779846,0.0001,139,573440,385.22403741115704,573440,1.0,1e-06,10.0,0.17028994858264923,-0.21968495845794678,0.7026222348213196,-0.21361257135868073,-1.6079113483428955,0.4325689971446991
14,0,0.29911983013153076,355.38446044921875,paper_sampled_score_separate_b,0.00042339705396443605,512,-1.646733045578003,1.4700959920883179,-1.644823431968689,-3.5447633266448975,0.037064146250486374,0.0,1.0,0,0,0.1,0.2939375638961792,81.81854248046875,58.873538970947266,1.2172001711491394,0.5991755988168901,deterministic_value_jacobian_separate_b,torch.float64,1.0,2.34582776651447e-15,1.5340908131672965e-13,symmetric_jacobi_cholesky_fp64,512,0.00015000000000000004,1.2203257083892822,901.9,0.24,1517,0.43206796050071716,0.059778738766908646,0.021777283400297165,0.0187835693359375,0.00010000000000000003,149,614400,412.43834967911243,614400,1.0,1e-06,6.213464260101318,0.2677287459373474,-0.5858496427536011,1.7769887447357178,-0.6430041790008545,-1.618431568145752,0.2983524799346924
14,1,0.5202193856239319,228.97434997558594,paper_sampled_score_separate_b,0.0009848559275269508,512,-1.6312146186828613,-1.3166924715042114,-1.5988048315048218,-3.437171220779419,0.017965784296393394,0.0,0.8646865487098694,0,0,0.1,0.2321256846189499,18.229684829711914,30.724660873413086,1.0362129858069475,0.4593958676260335,deterministic_value_jacobian_separate_b,torch.float64,1.0,1.8584024963119244e-14,5.955883692021882e-13,symmetric_jacobi_cholesky_fp64,512,0.0001,0.9561736583709717,882.12,0.43,1518,0.5782442092895508,0.09307708591222763,-0.21550390124320984,0.016548823565244675,0.0001,159,655360,439.67062671482563,655360,1.0,1e-06,7.69485330581665,0.266088604927063,-0.747275710105896,0.8142659664154053,-0.8087753653526306,-1.7108392715454102,0.4173606038093567
14,1,0.5633981227874756,484.3289794921875,paper_sampled_score_separate_b,0.0005662414478138089,512,-1.5351437330245972,1.600390076637268,-1.5346200466156006,-2.6199307441711426,0.03206821158528328,0.0,0.8027056455612183,0,0,0.1,0.22364889085292816,40.0300178527832,33.77723693847656,0.6666982387106617,0.4834291364827337,deterministic_value_jacobian_separate_b,torch.float64,1.0,1.706949863390648e-14,8.127681846824931e-13,symmetric_jacobi_cholesky_fp64,512,0.00010000000000000003,0.7684560418128967,849.18,0.4,1518,0.6228933334350586,0.10466479510068893,-0.16737134754657745,0.06699132919311523,0.0001,169,696320,466.96709579601884,696320,1.0,1e-06,3.8485662937164307,0.10000000149011612,-1.1711405515670776,1.0774939060211182,-1.2206013202667236,-2.060112714767456,0.16877469420433044
14,1,0.5996926426887512,473.51025390625,paper_sampled_score_separate_b,0.00043624400859698653,512,-1.4641587734222412,-1.0929946899414062,-1.4655916690826416,-2.034994125366211,0.0015922430902719498,0.0,0.7975485920906067,0,0,0.1,0.16846585273742676,116.43243408203125,60.02568435668945,0.589897752434303,0.3972634080848358,deterministic_value_jacobian_separate_b,torch.float64,1.0,3.0953944948647135e-15,2.39440695775637e-13,symmetric_jacobi_cholesky_fp64,512,0.0001,0.6414615511894226,845.61,0.21,1515,0.6269210577011108,0.18037542700767517,-0.13091784715652466,0.06378529965877533,0.0001,179,737280,494.1567986118607,737280,1.0,1e-06,10.0,0.10000000149011612,-1.269948959350586,-0.8103452324867249,-1.1995247602462769,-1.7924727201461792,0.05499373376369476
14,0,0.38962140679359436,190.5835723876953,paper_sampled_score_separate_b,0.000287700881017372,512,-1.3342583179473877,-0.40973538160324097,-1.3402729034423828,-1.8080823421478271,0.0064785899594426155,0.0,0.988579511642456,0,0,0.1,0.29337674379348755,21.677799224853516,30.460512161254883,1.1339038897747773,0.4493011699317274,deterministic_value_jacobian_separate_b,torch.float64,1.0,7.440652631343675e-15,2.550529057640003e-13,symmetric_jacobi_cholesky_fp64,512,0.0001,0.777678370475769,778.96,0.12,1519,0.5057762265205383,0.09902540594339371,-0.06538552045822144,0.00708233006298542,0.0001,189,778240,521.4239571900107,778240,1.0,1e-06,3.7675271034240723,0.2329270839691162,-1.6520395278930664,-0.9347216486930847,-1.6601437330245972,-2.2847330570220947,0.07259195297956467
14,1,0.43819698691368103,206.67425537109375,paper_sampled_score_separate_b,0.0009696712368167937,512,-1.151831030845642,6.90534782409668,-1.2358638048171997,-1.8040657043457031,0.34918126463890076,0.0,0.6434401869773865,0,0,0.1,0.5987080335617065,11.210407257080078,25.598018646240234,0.7732179130231959,0.2839381839538058,deterministic_value_jacobian_separate_b,torch.float64,1.0,7.340110264630091e-14,2.709384011101626e-12,symmetric_jacobi_cholesky_fp64,512,0.00022500000000000005,0.4967488646507263,747.73,0.4,1519,0.7770730257034302,0.2824828624725342,-8.252542465925217e-05,0.14480096101760864,0.00015000000000000004,199,819200,548.8576089721173,819200,1.0,1e-06,9.794339179992676,0.10000000149011612,-1.1345971822738647,8.494718551635742,-1.2810215950012207,-1.7070391178131104,0.7517259120941162
